"항목","행정구역(동읍면)별",2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12
"항목","행정구역(동읍면)별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"총인구수 (명)","서울특별시 > 강동구 > 강일동",34345,1198,1754,1699,2059,1558,1725,1850,2377,2823,2798,2670,2429,2396,2604,1864,1204,731,383,184,34,5
"총인구수 (명)","서울특별시 > 강동구 > 상일제1동",39009,1406,2537,3075,2283,1439,1565,1922,2773,4216,3905,3024,2454,2445,2484,1715,956,467,222,90,24,7
"총인구수 (명)","서울특별시 > 강동구 > 상일제2동",13310,490,676,707,955,718,810,856,940,1035,1092,1008,1015,759,686,611,432,283,144,68,21,4
"총인구수 (명)","서울특별시 > 강동구 > 명일제1동",24637,861,1034,1140,1105,1059,1323,1734,1883,2180,1915,1987,1745,1703,1842,1392,878,497,227,101,29,2
"총인구수 (명)","서울특별시 > 강동구 > 명일제2동",16868,258,593,1279,1195,930,1002,887,826,1355,1628,1493,1124,1096,1227,957,554,240,133,67,19,5
"총인구수 (명)","서울특별시 > 강동구 > 고덕제1동",23684,494,1349,2398,1793,938,867,921,1227,2536,2779,2086,1402,1369,1388,968,573,300,169,90,34,3
"총인구수 (명)","서울특별시 > 강동구 > 고덕제2동",26256,1051,1517,1707,1365,953,1344,1855,2174,2724,2438,1941,1663,1528,1509,1124,714,363,179,85,21,1
"총인구수 (명)","서울특별시 > 강동구 > 암사제1동",32675,629,814,1085,1172,1405,2352,2621,2154,2289,2469,2672,2844,2716,2665,1897,1393,903,401,154,37,3
"총인구수 (명)","서울특별시 > 강동구 > 암사제2동",14539,537,460,459,461,590,1026,1408,1318,1152,985,1133,1100,1004,1014,729,531,398,157,62,14,1
"총인구수 (명)","서울특별시 > 강동구 > 암사제3동",16830,470,860,1042,903,728,862,906,1082,1543,1453,1341,1292,1110,1145,950,556,349,161,51,20,6
"총인구수 (명)","서울특별시 > 강동구 > 천호제1동",25025,446,419,681,720,1008,1845,2160,1688,1646,1750,2008,2051,2198,2296,1662,1224,753,333,99,37,1
"총인구수 (명)","서울특별시 > 강동구 > 천호제2동",34829,749,681,757,924,1337,3226,3962,2827,2554,2309,2617,2755,2845,2596,1826,1374,892,428,136,30,4
"총인구수 (명)","서울특별시 > 강동구 > 천호제3동",26294,521,398,490,589,1150,2966,3292,2102,1851,1608,1863,1932,1966,2048,1412,1008,651,299,116,26,6
"총인구수 (명)","서울특별시 > 강동구 > 성내제1동",18917,522,559,725,749,951,1354,1625,1409,1466,1479,1528,1446,1374,1334,977,750,392,186,72,15,4
"총인구수 (명)","서울특별시 > 강동구 > 성내제2동",24236,422,379,487,567,1049,2656,3031,1937,1637,1523,1667,1729,1886,1824,1379,990,623,329,95,24,2
